History
"[(7, 8, False), 1, (9, 8, False), 1, (15, 8, False), 1, (16, 8, False), 1, (21, 8, False), 0, (21, 8, False)]"
"[(6, 5, False), 1, (9, 5, False), 1, (11, 5, False), 1, (12, 5, False), 1, (21, 5, False), 0, (21, 5, False)]"
"[(12, 10, True), 1, (15, 10, True), 1, (15, 10, False), 1, (17, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(10, 8, False), 1, (12, 8, False), 1, (14, 8, False), 1, (17, 8, False), 1, (21, 8, False), 0, (21, 8, False)]"
"[(5, 10, False), 1, (10, 10, False), 1, (12, 10, False), 1, (19, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(6, 10, False), 1, (17, 10, True), 1, (12, 10, False), 1, (17, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(5, 8, False), 1, (7, 8, False), 1, (18, 8, True), 1, (13, 8, False), 1, (16, 8, False), 1, (20, 8, False)]"
"[(7, 8, False), 1, (18, 8, True), 1, (13, 8, False), 1, (16, 8, False), 1, (20, 8, False), 0, (20, 8, False)]"
"[(5, 10, False), 1, (16, 10, True), 1, (13, 10, False), 1, (14, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(12, 5, True), 1, (15, 5, True), 1, (14, 5, False), 1, (16, 5, False), 1, (21, 5, False), 0, (21, 5, False)]"
"[(15, 8, True), 1, (16, 8, True), 1, (18, 8, True), 1, (15, 8, False), 1, (21, 8, False), 0, (21, 8, False)]"
"[(12, 10, True), 1, (16, 10, True), 1, (14, 10, False), 1, (19, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(10, 1, False), 1, (12, 1, False), 1, (15, 1, False), 1, (16, 1, False), 1, (17, 1, False), 1, (21, 1, False)]"
"[(12, 1, False), 1, (15, 1, False), 1, (16, 1, False), 1, (17, 1, False), 1, (21, 1, False), 0, (21, 1, False)]"
"[(14, 9, True), 1, (18, 9, True), 1, (12, 9, False), 1, (13, 9, False), 1, (21, 9, False), 0, (21, 9, False)]"
"[(5, 8, False), 1, (10, 8, False), 1, (14, 8, False), 1, (17, 8, False), 1, (21, 8, False), 0, (21, 8, False)]"
"[(10, 10, False), 1, (13, 10, False), 1, (15, 10, False), 1, (19, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(6, 10, False), 1, (8, 10, False), 1, (16, 10, False), 1, (17, 10, False), 1, (19, 10, False), 1, (21, 10, False)]"
"[(8, 10, False), 1, (16, 10, False), 1, (17, 10, False), 1, (19, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(17, 8, True), 1, (12, 8, False), 1, (14, 8, False), 1, (16, 8, False), 1, (20, 8, False), 0, (20, 8, False)]"
"[(12, 10, False), 1, (14, 10, False), 1, (16, 10, False), 1, (17, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(8, 8, False), 1, (13, 8, False), 1, (14, 8, False), 1, (15, 8, False), 1, (21, 8, False), 0, (21, 8, False)]"
"[(7, 10, False), 1, (10, 10, False), 1, (15, 10, False), 1, (17, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(5, 10, False), 1, (7, 10, False), 1, (9, 10, False), 1, (19, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(7, 6, False), 1, (10, 6, False), 1, (14, 6, False), 1, (15, 6, False), 1, (20, 6, False), 0, (20, 6, False)]"
"[(14, 10, True), 1, (14, 10, False), 1, (17, 10, False), 1, (19, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(10, 7, False), 1, (13, 7, False), 1, (14, 7, False), 1, (16, 7, False), 1, (21, 7, False), 0, (21, 7, False)]"
"[(14, 10, True), 1, (17, 10, True), 1, (18, 10, True), 1, (14, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(8, 4, False), 1, (11, 4, False), 1, (12, 4, False), 1, (16, 4, False), 1, (21, 4, False), 0, (21, 4, False)]"
"[(7, 5, False), 1, (10, 5, False), 1, (14, 5, False), 1, (15, 5, False), 1, (21, 5, False), 0, (21, 5, False)]"
"[(7, 10, False), 1, (10, 10, False), 1, (15, 10, False), 1, (17, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(6, 1, False), 1, (8, 1, False), 1, (16, 1, False), 1, (18, 1, False), 1, (21, 1, False), 0, (21, 1, False)]"
"[(11, 8, False), 1, (12, 8, False), 1, (14, 8, False), 1, (16, 8, False), 1, (21, 8, False), 0, (21, 8, False)]"
"[(13, 5, True), 1, (16, 5, True), 1, (14, 5, False), 1, (15, 5, False), 1, (21, 5, False), 0, (21, 5, False)]"
"[(17, 8, True), 1, (18, 8, True), 1, (12, 8, False), 1, (13, 8, False), 1, (21, 8, False), 0, (21, 8, False)]"
"[(14, 8, False), 1, (15, 8, False), 1, (16, 8, False), 1, (17, 8, False), 1, (21, 8, False), 0, (21, 8, False)]"
"[(11, 4, False), 1, (13, 4, False), 1, (14, 4, False), 1, (15, 4, False), 1, (21, 4, False), 0, (21, 4, False)]"
"[(8, 10, False), 1, (10, 10, False), 1, (15, 10, False), 1, (19, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(7, 10, False), 1, (12, 10, False), 1, (14, 10, False), 1, (17, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(8, 2, False), 1, (10, 2, False), 1, (13, 2, False), 1, (15, 2, False), 1, (21, 2, False), 0, (21, 2, False)]"
"[(13, 2, False), 1, (14, 2, False), 1, (15, 2, False), 1, (16, 2, False), 1, (21, 2, False), 0, (21, 2, False)]"
"[(11, 10, False), 1, (14, 10, False), 1, (16, 10, False), 1, (19, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(4, 2, False), 1, (7, 2, False), 1, (10, 2, False), 1, (12, 2, False), 1, (21, 2, False), 0, (21, 2, False)]"
"[(13, 4, False), 1, (15, 4, False), 1, (16, 4, False), 1, (17, 4, False), 1, (21, 4, False), 0, (21, 4, False)]"
"[(13, 1, False), 1, (15, 1, False), 1, (16, 1, False), 1, (17, 1, False), 1, (21, 1, False), 0, (21, 1, False)]"
"[(4, 10, False), 1, (6, 10, False), 1, (16, 10, False), 1, (19, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(9, 1, False), 1, (15, 1, False), 1, (17, 1, False), 1, (18, 1, False), 1, (21, 1, False), 0, (21, 1, False)]"
"[(15, 10, True), 1, (17, 10, True), 1, (12, 10, False), 1, (13, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(6, 4, False), 1, (8, 4, False), 1, (10, 4, False), 1, (16, 4, False), 1, (21, 4, False), 0, (21, 4, False)]"
"[(7, 10, False), 1, (18, 10, True), 1, (17, 10, False), 1, (19, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(4, 10, False), 1, (10, 10, False), 1, (13, 10, False), 1, (17, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(11, 7, False), 1, (12, 7, False), 1, (13, 7, False), 1, (15, 7, False), 1, (20, 7, False), 0, (20, 7, False)]"
"[(6, 1, False), 1, (11, 1, False), 1, (13, 1, False), 1, (16, 1, False), 1, (21, 1, False), 0, (21, 1, False)]"
"[(4, 8, False), 1, (8, 8, False), 1, (12, 8, False), 1, (14, 8, False), 1, (20, 8, False), 0, (20, 8, False)]"
"[(5, 10, False), 1, (8, 10, False), 1, (16, 10, False), 1, (17, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(9, 10, False), 1, (14, 10, False), 1, (15, 10, False), 1, (17, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(15, 10, True), 1, (15, 10, False), 1, (17, 10, False), 1, (19, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(12, 2, False), 1, (13, 2, False), 1, (14, 2, False), 1, (16, 2, False), 1, (21, 2, False), 0, (21, 2, False)]"
"[(14, 10, True), 1, (16, 10, True), 1, (17, 10, True), 1, (18, 10, True), 1, (13, 10, False), 1, (21, 10, False)]"
"[(16, 10, True), 1, (17, 10, True), 1, (18, 10, True), 1, (13, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(5, 1, False), 1, (16, 1, True), 1, (17, 1, True), 1, (13, 1, False), 1, (21, 1, False), 0, (21, 1, False)]"
"[(12, 10, False), 1, (13, 10, False), 1, (16, 10, False), 1, (19, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(17, 8, True), 1, (18, 8, True), 1, (12, 8, False), 1, (15, 8, False), 1, (20, 8, False), 0, (20, 8, False)]"
"[(5, 8, False), 1, (10, 8, False), 1, (14, 8, False), 1, (16, 8, False), 1, (21, 8, False), 0, (21, 8, False)]"
"[(15, 10, True), 1, (16, 10, True), 1, (12, 10, False), 1, (15, 10, False), 1, (16, 10, False), 1, (21, 10, False)]"
"[(16, 10, True), 1, (12, 10, False), 1, (15, 10, False), 1, (16, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(12, 9, True), 1, (12, 9, False), 1, (14, 9, False), 1, (17, 9, False), 1, (21, 9, False), 0, (21, 9, False)]"
"[(12, 7, True), 1, (14, 7, True), 1, (16, 7, True), 1, (17, 7, True), 1, (13, 7, False), 1, (21, 7, False)]"
"[(14, 7, True), 1, (16, 7, True), 1, (17, 7, True), 1, (13, 7, False), 1, (21, 7, False), 0, (21, 7, False)]"
"[(4, 10, False), 1, (6, 10, False), 1, (10, 10, False), 1, (16, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(5, 10, False), 1, (11, 10, False), 1, (16, 10, False), 1, (17, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(5, 10, False), 1, (7, 10, False), 1, (14, 10, False), 1, (19, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(12, 2, True), 1, (16, 2, True), 1, (17, 2, True), 1, (13, 2, False), 1, (21, 2, False), 0, (21, 2, False)]"
"[(6, 6, False), 1, (9, 6, False), 1, (12, 6, False), 1, (14, 6, False), 1, (20, 6, False), 0, (20, 6, False)]"
"[(9, 10, False), 1, (16, 10, False), 1, (17, 10, False), 1, (19, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(5, 10, False), 1, (8, 10, False), 1, (12, 10, False), 1, (14, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(7, 10, False), 1, (10, 10, False), 1, (13, 10, False), 1, (16, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(7, 9, False), 1, (11, 9, False), 1, (12, 9, False), 1, (13, 9, False), 1, (21, 9, False), 0, (21, 9, False)]"
"[(5, 10, False), 1, (8, 10, False), 1, (10, 10, False), 1, (12, 10, False), 1, (19, 10, False), 1, (21, 10, False)]"
"[(8, 10, False), 1, (10, 10, False), 1, (12, 10, False), 1, (19, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(11, 8, False), 1, (12, 8, False), 1, (16, 8, False), 1, (17, 8, False), 1, (21, 8, False), 0, (21, 8, False)]"
"[(11, 4, False), 1, (13, 4, False), 1, (15, 4, False), 1, (16, 4, False), 1, (21, 4, False), 0, (21, 4, False)]"
"[(10, 10, False), 1, (12, 10, False), 1, (16, 10, False), 1, (19, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(11, 3, False), 1, (12, 3, False), 1, (14, 3, False), 1, (17, 3, False), 1, (21, 3, False), 0, (21, 3, False)]"
"[(9, 8, False), 1, (12, 8, False), 1, (13, 8, False), 1, (16, 8, False), 1, (20, 8, False), 0, (20, 8, False)]"
"[(7, 7, False), 1, (12, 7, False), 1, (13, 7, False), 1, (15, 7, False), 1, (16, 7, False), 1, (20, 7, False)]"
"[(12, 7, False), 1, (13, 7, False), 1, (15, 7, False), 1, (16, 7, False), 1, (20, 7, False), 0, (20, 7, False)]"
"[(16, 10, True), 1, (12, 10, False), 1, (14, 10, False), 1, (17, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(9, 10, False), 1, (12, 10, False), 1, (14, 10, False), 1, (17, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(17, 1, True), 1, (18, 1, True), 1, (19, 1, True), 1, (17, 1, False), 1, (21, 1, False), 0, (21, 1, False)]"
"[(12, 3, False), 1, (14, 3, False), 1, (16, 3, False), 1, (17, 3, False), 1, (21, 3, False), 0, (21, 3, False)]"
"[(6, 3, False), 1, (12, 3, False), 1, (14, 3, False), 1, (17, 3, False), 1, (21, 3, False), 0, (21, 3, False)]"
"[(7, 10, False), 1, (12, 10, False), 1, (14, 10, False), 1, (17, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(9, 10, False), 1, (14, 10, False), 1, (15, 10, False), 1, (19, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(14, 10, True), 1, (15, 10, True), 1, (17, 10, True), 1, (12, 10, False), 1, (15, 10, False), 1, (21, 10, False)]"
"[(15, 10, True), 1, (17, 10, True), 1, (12, 10, False), 1, (15, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(9, 10, False), 1, (11, 10, False), 1, (12, 10, False), 1, (15, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(13, 10, True), 1, (16, 10, True), 1, (14, 10, False), 1, (16, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(15, 4, True), 1, (13, 4, False), 1, (15, 4, False), 1, (16, 4, False), 1, (21, 4, False), 0, (21, 4, False)]"
"[(14, 7, True), 1, (15, 7, True), 1, (15, 7, False), 1, (16, 7, False), 1, (20, 7, False), 0, (20, 7, False)]"
"[(14, 8, True), 1, (15, 8, True), 1, (18, 8, True), 1, (12, 8, False), 1, (20, 8, False), 0, (20, 8, False)]"
"[(6, 2, False), 1, (9, 2, False), 1, (14, 2, False), 1, (16, 2, False), 1, (21, 2, False), 0, (21, 2, False)]"
"[(12, 10, True), 1, (12, 10, False), 1, (14, 10, False), 1, (17, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(7, 10, False), 1, (13, 10, False), 1, (16, 10, False), 1, (19, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(15, 10, True), 1, (14, 10, False), 1, (15, 10, False), 1, (19, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(9, 9, False), 1, (11, 9, False), 1, (12, 9, False), 1, (14, 9, False), 1, (21, 9, False), 0, (21, 9, False)]"
"[(6, 1, False), 1, (17, 1, True), 1, (14, 1, False), 1, (15, 1, False), 1, (17, 1, False), 1, (21, 1, False)]"
"[(17, 1, True), 1, (14, 1, False), 1, (15, 1, False), 1, (17, 1, False), 1, (21, 1, False), 0, (21, 1, False)]"
"[(18, 10, True), 1, (12, 10, False), 1, (14, 10, False), 1, (17, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(4, 8, False), 1, (6, 8, False), 1, (8, 8, False), 1, (13, 8, False), 1, (14, 8, False), 1, (21, 8, False)]"
"[(6, 8, False), 1, (8, 8, False), 1, (13, 8, False), 1, (14, 8, False), 1, (21, 8, False), 0, (21, 8, False)]"
"[(9, 10, False), 1, (12, 10, False), 1, (13, 10, False), 1, (17, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(12, 1, True), 1, (18, 1, True), 1, (12, 1, False), 1, (14, 1, False), 1, (17, 1, False), 1, (21, 1, False)]"
"[(18, 1, True), 1, (12, 1, False), 1, (14, 1, False), 1, (17, 1, False), 1, (21, 1, False), 0, (21, 1, False)]"
"[(9, 10, False), 1, (11, 10, False), 1, (17, 10, False), 1, (19, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(10, 3, False), 1, (14, 3, False), 1, (15, 3, False), 1, (17, 3, False), 1, (21, 3, False), 0, (21, 3, False)]"
"[(12, 8, True), 1, (14, 8, True), 1, (12, 8, False), 1, (14, 8, False), 1, (15, 8, False), 1, (20, 8, False)]"
"[(14, 8, True), 1, (12, 8, False), 1, (14, 8, False), 1, (15, 8, False), 1, (20, 8, False), 0, (20, 8, False)]"
"[(12, 1, False), 1, (14, 1, False), 1, (16, 1, False), 1, (17, 1, False), 1, (21, 1, False), 0, (21, 1, False)]"
"[(8, 10, False), 1, (13, 10, False), 1, (14, 10, False), 1, (15, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(13, 8, True), 1, (15, 8, True), 1, (12, 8, False), 1, (14, 8, False), 1, (20, 8, False), 0, (20, 8, False)]"
"[(4, 10, False), 1, (7, 10, False), 1, (11, 10, False), 1, (14, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(15, 10, True), 1, (18, 10, True), 1, (17, 10, False), 1, (19, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(6, 5, False), 1, (9, 5, False), 1, (11, 5, False), 1, (13, 5, False), 1, (21, 5, False), 0, (21, 5, False)]"
"[(7, 10, False), 1, (9, 10, False), 1, (14, 10, False), 1, (19, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(14, 10, True), 1, (16, 10, True), 1, (17, 10, True), 1, (13, 10, False), 1, (19, 10, False), 1, (21, 10, False)]"
"[(16, 10, True), 1, (17, 10, True), 1, (13, 10, False), 1, (19, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(12, 2, False), 1, (13, 2, False), 1, (16, 2, False), 1, (17, 2, False), 1, (21, 2, False), 0, (21, 2, False)]"
"[(7, 4, False), 1, (10, 4, False), 1, (13, 4, False), 1, (14, 4, False), 1, (21, 4, False), 0, (21, 4, False)]"
"[(6, 1, False), 1, (9, 1, False), 1, (17, 1, False), 1, (18, 1, False), 1, (21, 1, False), 0, (21, 1, False)]"
"[(12, 8, True), 1, (15, 8, True), 1, (12, 8, False), 1, (15, 8, False), 1, (20, 8, False), 0, (20, 8, False)]"
"[(14, 10, False), 1, (16, 10, False), 1, (17, 10, False), 1, (19, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(5, 4, False), 1, (9, 4, False), 1, (11, 4, False), 1, (15, 4, False), 1, (21, 4, False), 0, (21, 4, False)]"
"[(6, 10, False), 1, (11, 10, False), 1, (15, 10, False), 1, (19, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(6, 2, False), 1, (17, 2, True), 1, (14, 2, False), 1, (17, 2, False), 1, (21, 2, False), 0, (21, 2, False)]"
"[(12, 10, True), 1, (18, 10, True), 1, (12, 10, False), 1, (16, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(7, 10, False), 1, (11, 10, False), 1, (12, 10, False), 1, (17, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(12, 4, False), 1, (13, 4, False), 1, (15, 4, False), 1, (16, 4, False), 1, (21, 4, False), 0, (21, 4, False)]"
"[(13, 7, True), 1, (15, 7, True), 1, (15, 7, False), 1, (16, 7, False), 1, (20, 7, False), 0, (20, 7, False)]"
"[(6, 9, False), 1, (11, 9, False), 1, (13, 9, False), 1, (16, 9, False), 1, (21, 9, False), 0, (21, 9, False)]"
"[(8, 10, False), 1, (13, 10, False), 1, (17, 10, False), 1, (19, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(12, 8, True), 1, (18, 8, True), 1, (13, 8, False), 1, (14, 8, False), 1, (20, 8, False), 0, (20, 8, False)]"
"[(14, 7, True), 1, (12, 7, False), 1, (13, 7, False), 1, (16, 7, False), 1, (20, 7, False), 0, (20, 7, False)]"
"[(13, 10, True), 1, (15, 10, True), 1, (16, 10, True), 1, (16, 10, False), 1, (17, 10, False), 1, (21, 10, False)]"
"[(15, 10, True), 1, (16, 10, True), 1, (16, 10, False), 1, (17, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(8, 8, False), 1, (14, 8, False), 1, (15, 8, False), 1, (16, 8, False), 1, (21, 8, False), 0, (21, 8, False)]"
"[(6, 10, False), 1, (12, 10, False), 1, (14, 10, False), 1, (19, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(8, 10, False), 1, (12, 10, False), 1, (13, 10, False), 1, (16, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(6, 10, False), 1, (13, 10, False), 1, (16, 10, False), 1, (19, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(10, 10, False), 1, (13, 10, False), 1, (15, 10, False), 1, (17, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(13, 7, True), 1, (14, 7, True), 1, (17, 7, True), 1, (12, 7, False), 1, (21, 7, False), 0, (21, 7, False)]"
"[(8, 6, False), 1, (12, 6, False), 1, (14, 6, False), 1, (15, 6, False), 1, (20, 6, False), 0, (20, 6, False)]"
"[(5, 10, False), 1, (7, 10, False), 1, (13, 10, False), 1, (19, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(7, 1, False), 1, (18, 1, True), 1, (15, 1, False), 1, (17, 1, False), 1, (21, 1, False), 0, (21, 1, False)]"
"[(5, 5, False), 1, (12, 5, False), 1, (13, 5, False), 1, (14, 5, False), 1, (21, 5, False), 0, (21, 5, False)]"
"[(12, 10, False), 1, (13, 10, False), 1, (16, 10, False), 1, (17, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(4, 10, False), 1, (15, 10, True), 1, (17, 10, True), 1, (12, 10, False), 1, (19, 10, False), 1, (21, 10, False)]"
"[(15, 10, True), 1, (17, 10, True), 1, (12, 10, False), 1, (19, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(6, 9, False), 1, (8, 9, False), 1, (12, 9, False), 1, (17, 9, False), 1, (21, 9, False), 0, (21, 9, False)]"
"[(10, 10, False), 1, (14, 10, False), 1, (17, 10, False), 1, (19, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(7, 8, False), 1, (13, 8, False), 1, (15, 8, False), 1, (17, 8, False), 1, (21, 8, False), 0, (21, 8, False)]"
"[(12, 1, True), 1, (16, 1, True), 1, (18, 1, True), 1, (18, 1, False), 1, (21, 1, False), 0, (21, 1, False)]"
"[(15, 10, True), 1, (12, 10, False), 1, (14, 10, False), 1, (15, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(12, 10, True), 1, (13, 10, True), 1, (13, 10, False), 1, (15, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(13, 7, True), 1, (14, 7, True), 1, (14, 7, False), 1, (15, 7, False), 1, (20, 7, False), 0, (20, 7, False)]"
"[(12, 10, False), 1, (15, 10, False), 1, (16, 10, False), 1, (17, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(5, 10, False), 1, (16, 10, True), 1, (16, 10, False), 1, (17, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(6, 10, False), 1, (8, 10, False), 1, (12, 10, False), 1, (16, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(5, 10, False), 1, (8, 10, False), 1, (11, 10, False), 1, (13, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(14, 7, True), 1, (16, 7, True), 1, (12, 7, False), 1, (13, 7, False), 1, (21, 7, False), 0, (21, 7, False)]"
"[(7, 10, False), 1, (18, 10, True), 1, (13, 10, False), 1, (14, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(12, 1, False), 1, (13, 1, False), 1, (16, 1, False), 1, (17, 1, False), 1, (21, 1, False), 0, (21, 1, False)]"
"[(6, 5, False), 1, (8, 5, False), 1, (10, 5, False), 1, (16, 5, False), 1, (21, 5, False), 0, (21, 5, False)]"
"[(6, 10, False), 1, (17, 10, True), 1, (14, 10, False), 1, (15, 10, False), 1, (19, 10, False), 1, (21, 10, False)]"
"[(17, 10, True), 1, (14, 10, False), 1, (15, 10, False), 1, (19, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(9, 10, False), 1, (15, 10, False), 1, (17, 10, False), 1, (19, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(9, 8, False), 1, (12, 8, False), 1, (13, 8, False), 1, (14, 8, False), 1, (20, 8, False), 0, (20, 8, False)]"
"[(13, 10, True), 1, (14, 10, True), 1, (18, 10, True), 1, (16, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(8, 10, False), 1, (11, 10, False), 1, (12, 10, False), 1, (19, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(5, 4, False), 1, (11, 4, False), 1, (12, 4, False), 1, (14, 4, False), 1, (15, 4, False), 1, (21, 4, False)]"
"[(11, 4, False), 1, (12, 4, False), 1, (14, 4, False), 1, (15, 4, False), 1, (21, 4, False), 0, (21, 4, False)]"
"[(8, 9, False), 1, (11, 9, False), 1, (14, 9, False), 1, (16, 9, False), 1, (21, 9, False), 0, (21, 9, False)]"
"[(7, 3, False), 1, (9, 3, False), 1, (12, 3, False), 1, (14, 3, False), 1, (21, 3, False), 0, (21, 3, False)]"
"[(7, 4, False), 1, (12, 4, False), 1, (13, 4, False), 1, (17, 4, False), 1, (21, 4, False), 0, (21, 4, False)]"
"[(14, 1, True), 1, (17, 1, True), 1, (17, 1, False), 1, (18, 1, False), 1, (21, 1, False), 0, (21, 1, False)]"
"[(7, 10, False), 1, (9, 10, False), 1, (15, 10, False), 1, (17, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(5, 10, False), 1, (16, 10, True), 1, (16, 10, False), 1, (19, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(4, 10, False), 1, (7, 10, False), 1, (12, 10, False), 1, (17, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(4, 10, False), 1, (9, 10, False), 1, (13, 10, False), 1, (14, 10, False), 1, (19, 10, False), 1, (21, 10, False)]"
"[(9, 10, False), 1, (13, 10, False), 1, (14, 10, False), 1, (19, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(5, 9, False), 1, (16, 9, True), 1, (17, 9, True), 1, (18, 9, True), 1, (21, 9, True), 0, (21, 9, True)]"
"[(9, 6, False), 1, (12, 6, False), 1, (14, 6, False), 1, (15, 6, False), 1, (21, 6, False), 0, (21, 6, False)]"
"[(12, 10, False), 1, (15, 10, False), 1, (16, 10, False), 1, (19, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(9, 3, False), 1, (13, 3, False), 1, (14, 3, False), 1, (16, 3, False), 1, (21, 3, False), 0, (21, 3, False)]"
"[(11, 1, False), 1, (13, 1, False), 1, (16, 1, False), 1, (18, 1, False), 1, (21, 1, False), 0, (21, 1, False)]"
"[(5, 8, False), 1, (7, 8, False), 1, (10, 8, False), 1, (13, 8, False), 1, (15, 8, False), 1, (21, 8, False)]"
"[(7, 8, False), 1, (10, 8, False), 1, (13, 8, False), 1, (15, 8, False), 1, (21, 8, False), 0, (21, 8, False)]"
"[(4, 8, False), 1, (6, 8, False), 1, (17, 8, True), 1, (17, 8, False), 1, (20, 8, False), 0, (20, 8, False)]"
"[(7, 10, False), 1, (11, 10, False), 1, (12, 10, False), 1, (19, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(5, 10, False), 1, (12, 10, False), 1, (13, 10, False), 1, (15, 10, False), 1, (16, 10, False), 1, (21, 10, False)]"
"[(12, 10, False), 1, (13, 10, False), 1, (15, 10, False), 1, (16, 10, False), 1, (21, 10, False), 0, (21, 10, False)]"
"[(6, 2, False), 1, (12, 2, False), 1, (13, 2, False), 1, (17, 2, False), 1, (21, 2, False), 0, (21, 2, False)]"
"[(14, 1, True), 1, (16, 1, True), 1, (13, 1, False), 1, (16, 1, False), 1, (21, 1, False), 0, (21, 1, False)]"
"[(16, 8, True), 1, (14, 8, False), 1, (15, 8, False), 1, (16, 8, False), 1, (21, 8, False), 0, (21, 8, False)]"
"[(13, 3, True), 1, (15, 3, True), 1, (15, 3, False), 1, (17, 3, False), 1, (21, 3, False), 0, (21, 3, False)]"
